iter	Passed	Remaining
0	136	136298
1	137	68822
2	138	46091
3	139	34694
4	140	27944
5	142	23569
6	142	20273
7	144	17887
8	145	15991
9	146	14478
10	147	13227
11	147	12183
12	148	11298
13	149	10541
14	150	9894
15	151	9322
16	152	8834
17	153	8384
18	154	7973
19	155	7603
20	156	7282
21	157	6989
22	158	6719
23	159	6472
24	160	6249
25	161	6032
26	161	5826
27	162	5641
28	163	5484
29	164	5324
30	165	5176
31	166	5034
32	167	4898
33	167	4770
34	168	4657
35	170	4560
36	171	4455
37	172	4361
38	173	4266
39	173	4173
40	174	4080
41	175	4001
42	176	3922
43	177	3853
44	178	3783
45	179	3713
46	179	3648
47	180	3583
48	181	3529
49	182	3474
50	183	3418
51	184	3363
52	185	3312
53	185	3257
54	186	3209
55	187	3168
56	189	3130
57	190	3086
58	190	3040
59	191	2995
60	191	2954
61	192	2915
62	193	2879
63	194	2850
64	196	2820
65	196	2786
66	197	2752
67	197	2713
68	198	2681
69	199	2654
70	200	2628
71	202	2604
72	203	2579
73	203	2552
74	204	2526
75	205	2504
76	207	2483
77	208	2460
78	209	2439
79	210	2417
80	211	2396
81	212	2376
82	213	2356
83	214	2338
84	215	2317
85	216	2304
86	217	2283
87	218	2268
88	220	2254
89	221	2239
90	222	2222
91	223	2205
92	224	2188
93	225	2172
94	226	2158
95	227	2145
96	228	2129
97	229	2114
98	230	2097
99	231	2083
100	232	2071
101	233	2053
102	234	2038
103	234	2024
104	235	2010
105	236	1996
106	237	1984
107	239	1974
108	239	1960
109	240	1947
110	241	1934
111	242	1922
112	243	1910
113	244	1898
114	245	1888
115	246	1874
116	246	1862
117	247	1851
118	248	1838
119	249	1826
120	250	1816
121	251	1809
122	251	1796
123	252	1785
124	253	1774
125	254	1764
126	255	1753
127	255	1741
128	256	1733
129	257	1726
130	258	1717
131	259	1707
132	260	1698
133	261	1689
134	262	1680
135	263	1671
136	264	1664
137	265	1655
138	265	1647
139	266	1638
140	267	1629
141	268	1621
142	269	1613
143	270	1606
144	271	1599
145	272	1591
146	272	1583
147	273	1574
148	274	1566
149	275	1559
150	276	1556
151	277	1550
152	278	1542
153	279	1535
154	280	1527
155	281	1520
156	282	1514
157	283	1508
158	284	1502
159	284	1496
160	285	1488
161	286	1482
162	287	1475
163	288	1469
164	289	1465
165	290	1459
166	291	1453
167	292	1447
168	292	1440
169	293	1434
170	295	1430
171	296	1425
172	297	1420
173	297	1414
174	298	1408
175	299	1402
176	300	1397
177	301	1393
178	302	1388
179	303	1384
180	304	1377
181	305	1372
182	306	1367
183	307	1363
184	308	1360
185	309	1355
186	310	1350
187	311	1344
188	312	1339
189	313	1334
190	314	1331
191	315	1327
192	316	1322
193	317	1317
194	317	1312
195	318	1307
196	319	1303
197	320	1299
198	321	1295
199	322	1291
200	323	1286
201	324	1281
202	325	1276
203	326	1273
204	327	1270
205	328	1265
206	329	1261
207	330	1256
208	330	1252
209	331	1248
210	332	1244
211	333	1241
212	334	1237
213	335	1233
214	336	1228
215	337	1224
216	338	1220
217	339	1217
218	340	1214
219	341	1210
220	342	1206
221	343	1202
222	343	1198
223	344	1194
224	346	1191
225	347	1189
226	348	1185
227	348	1181
228	349	1177
229	350	1173
230	351	1170
231	352	1167
232	353	1164
233	354	1160
234	355	1157
235	356	1153
236	357	1150
237	358	1148
238	359	1145
239	360	1141
240	361	1137
241	362	1134
242	362	1130
243	363	1127
244	364	1124
245	366	1122
246	366	1118
247	367	1115
248	368	1112
249	369	1108
250	370	1105
251	371	1102
252	372	1099
253	373	1096
254	374	1092
255	375	1090
256	376	1087
257	377	1085
258	378	1083
259	379	1080
260	380	1076
261	381	1073
262	381	1070
263	382	1067
264	383	1064
265	384	1061
266	385	1057
267	386	1054
268	386	1051
269	387	1048
270	388	1045
271	389	1042
272	390	1039
273	391	1036
274	392	1033
275	392	1030
276	393	1027
277	394	1024
278	395	1021
279	396	1018
280	396	1015
281	397	1012
282	398	1009
283	399	1006
284	400	1003
285	401	1001
286	401	998
287	402	995
288	403	992
289	404	989
290	405	986
291	405	984
292	406	981
293	407	978
294	408	975
295	409	972
296	409	970
297	410	967
298	411	964
299	412	962
300	413	959
301	413	956
302	414	953
303	415	951
304	416	948
305	417	946
306	418	943
307	418	940
308	419	938
309	420	935
310	421	933
311	422	930
312	422	928
313	423	925
314	424	923
315	425	920
316	426	918
317	426	915
318	427	913
319	428	910
320	429	908
321	430	905
322	431	903
323	431	900
324	432	898
325	433	896
326	434	893
327	435	891
328	435	889
329	436	886
330	437	884
331	438	881
332	439	879
333	439	877
334	440	874
335	441	872
336	442	870
337	443	868
338	444	866
339	445	864
340	446	862
341	446	859
342	447	857
343	448	855
344	449	852
345	450	850
346	450	848
347	451	846
348	452	843
349	453	841
350	454	839
351	454	837
352	455	835
353	456	833
354	457	831
355	458	828
356	459	826
357	459	824
358	460	822
359	461	820
360	462	818
361	463	816
362	463	813
363	464	811
364	465	809
365	466	807
366	466	805
367	467	803
368	468	801
369	469	799
370	470	797
371	471	795
372	471	793
373	472	791
374	473	788
375	474	787
376	475	785
377	476	783
378	476	781
